2135,14.24
2136,66.36
2137,123.32
2138,156.47
2139,451.42
2140,299.40
2141,300.36
2142,519.05
2143,44.39
2144,378.29
2145,100.95
2146,450.43
2147,77.50
2148,40.96
2149,142.49
2150,73.93
2151,19.52
2152,107.05
2153,33.28
2154,228.11
2155,319.22
2156,463.14
2157,8.61
2158,102.71
2159,286.89
2160,117.21
2161,954.29
2162,630.17
2163,146.53
2164,134.81
2165,37.06
2166,32.04
2167,131.48
2168,19.89
2169,161.80
2170,122.77
2171,185.95
2172,98.01
2173,67.33
2174,2.55
2175,121.14
2176,1.24
2177,68.74
2178,70.18
2179,293.16
2180,317.47
2181,29.99
2182,5.48
2183,31.48
2184,124.73
2185,4.94
2186,63.99
2187,314.95
2188,463.87
2189,42.57
2190,200.54
2191,83.84
2192,281.53
2193,101.93
2194,298.54
2195,133.02
2196,288.47
2197,226.46
2198,121.96
2199,153.18
2200,344.21
2201,492.06
2202,720.01
2203,105.70
2204,236.38
2205,24.07
2206,264.96
2207,610.44
2208,79.21
2209,296.21
2210,50.04
2211,75.17
2212,273.31
2213,8.12
2214,622.71
2215,94.45
2216,20.15
2217,685.43
2218,32.97
2219,22.65
2220,409.47
2221,85.62
2222,594.99
2223,190.18
2224,231.20
2225,128.47
2226,121.12
2227,381.58
2228,249.48
2229,315.14
2230,44.70
2231,325.73
2232,135.47
2233,112.98
2234,274.15
2235,12.46
2236,47.04
2237,692.74
2238,232.14
2239,621.94
2240,189.70
2241,548.62
2242,77.52
2243,106.39
2244,203.65
2245,15.87
2246,92.62
2247,593.32
2248,24.47
2249,69.60
2250,297.36
2251,19.42
2252,244.38
2253,561.95
2254,448.58
2255,81.31
2256,334.51
2257,453.42
2258,37.87
2259,113.87
2260,88.93
2261,147.79
2262,104.45
2263,100.93
2264,42.77
2265,4.62
2266,43.55
2267,323.08
2268,516.49
2269,230.85
2270,203.41
2271,123.47
2272,258.80
2273,267.86
2274,282.26
2275,4.47
2276,278.33
2277,18.64
2278,66.93
2279,43.13
2280,424.82
2281,324.07
2282,165.36
2283,151.14
2284,196.39
2285,75.74
2286,128.26
2287,124.22
2288,480.63
2289,28.52
2290,215.41
2291,0.42
2292,96.04
2293,46.69
2294,158.05
2295,501.51
2296,148.64
2297,340.71
2298,401.68
2299,238.71
2300,215.85
2301,52.24
2302,145.71
2303,360.96
2304,91.10
2305,210.00
2306,135.91
2307,86.54
2308,43.81
2309,100.66
2310,175.75
2311,177.52
2312,73.81
2313,357.34
2314,89.95
2315,46.16
2316,18.86
2317,11.68
2318,29.80
2319,1064.98
2320,27.92
2321,295.44
2322,184.00
2323,306.46
2324,754.81
2325,151.50
2326,80.57
2327,12.50
2328,136.60
2329,284.06
2330,177.52
2331,132.90
2332,109.40
2333,10.04
2334,539.91
2335,100.60
2336,643.20
2337,4.08
2338,130.98
2339,181.11
2340,399.00
2341,75.08
2342,448.61
2343,632.92
2344,77.51
2345,28.95
2346,33.42
2347,278.48
2348,244.43
2349,129.77
2350,47.90
2351,368.40
2352,431.95
2353,124.17
2354,224.70
2355,337.43
2356,106.54
2357,90.57
2358,96.88
2359,210.13
2360,490.18
2361,24.27
2362,593.98
2363,295.93
2364,48.53
2365,489.90
2366,241.86
2367,85.90
2368,203.71
2369,111.75
2370,124.59
2371,12.05
2372,100.06
2373,233.31
2374,349.26
2375,102.65
2376,94.03
2377,180.89
2378,201.23
2379,8.24
2380,56.02
2381,59.88
2382,398.43
2383,211.07
2384,39.94
2385,31.69
2386,46.89
2387,235.89
2388,290.09
2389,375.59
2390,969.51
2391,244.65
2392,592.69
2393,29.09
2394,49.27
2395,663.86
2396,120.89
2397,13.63
2398,410.00
2399,232.45
2400,282.52
2401,210.41
2402,242.73
2403,63.64
2404,48.01
2405,346.90
2406,200.85
2407,94.03
2408,245.44
2409,255.80
2410,74.46
2411,37.55
2412,76.87
2413,365.84
2414,91.96
2415,156.07
2416,210.37
2417,79.32
2418,532.99
2419,50.68
2420,38.25
2421,313.83
2422,161.91
2423,76.22
2424,4.42
2425,203.15
2426,613.40
2427,238.83
2428,62.02
2429,351.64
2430,530.25
2431,336.70
2432,88.01
2433,3.47
2434,127.77
2435,128.35
2436,54.79
2437,6.36
2438,77.79
2439,147.70
2440,88.38
2441,85.54
2442,160.31
2443,19.11
2444,214.39
2445,8.72
2446,354.81
2447,138.27
2448,98.23
2449,145.36
2450,97.79
2451,594.55
2452,23.58
2453,29.86
2454,334.21
2455,47.35
2456,110.98
2457,512.96
2458,35.65
2459,577.47
2460,125.37
2461,58.23
2462,327.48
2463,635.92
2464,435.53
2465,23.11
2466,180.46
2467,208.70
2468,5.11
2469,19.53
2470,355.32
2471,69.44
2472,313.06
2473,0.47
2474,86.55
2475,134.61
2476,104.10
2477,80.80
2478,61.71
2479,51.03
2480,351.42
2481,332.69
2482,52.04
2483,128.02
2484,281.91
2485,480.17
2486,282.64
2487,70.98
2488,142.60
2489,114.09
2490,69.27
2491,120.07
2492,194.68
2493,67.78
2494,137.64
2495,32.11
2496,220.94
2497,219.85
2498,92.28
2499,163.83
2500,23.56
2501,0.00
2502,0.00
2503,0.00
2504,0.00
2505,0.00
2506,0.00
2507,0.00
2508,0.00
2509,0.00
2510,0.00
2511,0.00
2512,0.00
2513,0.00
2514,0.00
2515,0.00
2516,0.00
2517,0.00
2518,0.00
2519,0.00
2520,0.00
2521,0.00
2522,0.00
2523,0.00
2524,0.00
2525,0.00
2526,0.00
2527,0.00
2528,0.00
2529,0.00
2530,0.00
2531,0.00
2532,0.00
2533,0.00
2534,0.00
2535,0.00
2536,0.00
2537,0.00
2538,0.00
2539,0.00
2540,0.00
2541,0.00
2542,0.00
2543,0.00
2544,0.00
2545,0.00
2546,0.00
2547,0.00
2548,0.00
2549,0.00
2550,0.00
2551,0.00
2552,0.00
2553,0.00
2554,0.00
2555,0.00
2556,0.00
2557,0.00
2558,0.00
2559,0.00
2560,0.00
2561,0.00
2562,0.00
2563,0.00
2564,0.00
2565,0.00
2566,0.00
2567,0.00
2568,0.00
2569,0.00
2570,0.00
2571,0.00
2572,0.00
2573,0.00
2574,0.00
2575,0.00
2576,0.00
2577,0.00
2578,0.00
2579,0.00
2580,0.00
2581,0.00
2582,0.00
2583,0.00
2584,0.00
2585,0.00
2586,0.00
2587,0.00
2588,0.00
2589,0.00
2590,0.00
2591,0.00
2592,0.00
2593,0.00
2594,0.00
2595,0.00
2596,0.00
2597,0.00
2598,0.00
2599,0.00
2600,0.00
2601,0.00
2602,0.00
2603,0.00
2604,0.00
2605,0.00
2606,0.00
2607,0.00
2608,0.00
2609,0.00
2610,0.00
2611,0.00
2612,0.00
2613,0.00
2614,0.00
2615,0.00
2616,0.00
2617,0.00
2618,0.00
2619,0.00
2620,0.00
2621,0.00
2622,0.00
2623,0.00
2624,0.00
2625,0.00
2626,0.00
2627,0.00
2628,0.00
2629,0.00
2630,0.00
2631,0.00
2632,0.00
2633,0.00
2634,0.00
2635,0.00
2636,0.00
2637,0.00
2638,0.00
2639,0.00
2640,0.00
2641,0.00
2642,0.00
2643,0.00
2644,0.00
2645,0.00
2646,0.00
2647,0.00
2648,0.00
2649,0.00
2650,0.00
2651,0.00
2652,0.00
2653,0.00
2654,0.00
2655,0.00
2656,0.00
2657,0.00
2658,0.00
2659,0.00
2660,0.00
2661,0.00
2662,0.00
2663,0.00
2664,0.00
2665,0.00
2666,0.00
2667,0.00
2668,0.00
2669,0.00
2670,0.00
2671,0.00
2672,0.00
2673,0.00
2674,0.00
2675,0.00
2676,0.00
2677,0.00
2678,0.00
2679,0.00
2680,0.00
2681,0.00
2682,0.00
2683,0.00
2684,0.00
2685,0.00
2686,0.00
2687,0.00
2688,0.00
2689,0.00
2690,0.00
2691,0.00
2692,0.00
2693,0.00
2694,0.00
2695,0.00
2696,0.00
2697,0.00
2698,0.00
2699,0.00
2700,0.00
2701,0.00
2702,0.00
2703,0.00
2704,0.00
2705,0.00
2706,0.00
2707,0.00
2708,0.00
2709,0.00
2710,0.00
2711,0.00
2712,0.00
2713,0.00
2714,0.00
2715,0.00
2716,0.00
2717,0.00
2718,0.00
2719,0.00
2720,0.00
2721,0.00
2722,0.00
2723,0.00
2724,0.00
2725,0.00
2726,0.00
2727,0.00
2728,0.00
2729,0.00
2730,0.00
2731,0.00
2732,0.00
2733,0.00
2734,0.00
2735,0.00
2736,0.00
2737,0.00
2738,0.00
2739,0.00
2740,0.00
2741,0.00
2742,0.00
2743,0.00
2744,0.00
2745,0.00
2746,0.00
2747,0.00
2748,0.00
2749,0.00
2750,0.00
2751,0.00
2752,0.00
2753,0.00
2754,0.00
2755,0.00
2756,0.00
2757,0.00
2758,0.00
2759,0.00
2760,0.00
2761,0.00
2762,0.00
2763,0.00
2764,0.00
2765,0.00
2766,0.00
2767,0.00
2768,0.00
2769,0.00
2770,0.00
2771,0.00
2772,0.00
2773,0.00
2774,0.00
2775,0.00
2776,0.00
2777,0.00
2778,0.00
2779,0.00
2780,0.00
2781,0.00
2782,0.00
2783,0.00
2784,0.00
2785,0.00
2786,0.00
2787,0.00
2788,0.00
2789,0.00
2790,0.00
2791,0.00
2792,0.00
2793,0.00
2794,0.00
2795,0.00
2796,0.00
2797,0.00
2798,0.00
2799,0.00
2800,0.00
2801,0.00
2802,0.00
2803,0.00
2804,0.00
2805,0.00
2806,0.00
2807,0.00
2808,0.00
2809,0.00
2810,0.00
2811,0.00
2812,0.00
2813,0.00
2814,0.00
2815,0.00
2816,0.00
2817,0.00
2818,0.00
2819,0.00
2820,0.00
2821,0.00
2822,0.00
2823,0.00
2824,0.00
2825,0.00
2826,0.00
2827,0.00
2828,0.00
2829,0.00
2830,0.00
2831,0.00
2832,0.00
2833,0.00
2834,0.00
2835,0.00
2836,0.00
2837,0.00
2838,0.00
2839,0.00
2840,0.00
2841,0.00
2842,0.00
2843,0.00
2844,0.00
2845,0.00
2846,0.00
2847,0.00
2848,0.00
2849,0.00
2850,0.00
2851,0.00
2852,0.00
2853,0.00
2854,0.00
2855,0.00
2856,0.00
2857,0.00
2858,0.00
2859,0.00
2860,0.00
2861,0.00
2862,0.00
2863,0.00
2864,0.00
2865,0.00
2866,0.00
2867,0.00
2868,0.00
2869,0.00
2870,0.00
2871,0.00
2872,0.00
2873,0.00
2874,0.00
2875,0.00
2876,0.00
2877,0.00
2878,0.00
2879,0.00
2880,0.00
2881,0.00
2882,0.00
2883,0.00
2884,0.00
2885,0.00
2886,0.00
2887,0.00
2888,0.00
2889,0.00
2890,0.00
2891,0.00
2892,0.00
2893,0.00
2894,0.00
2895,0.00
2896,0.00
2897,0.00
2898,0.00
2899,0.00
2900,0.00
2901,0.00
2902,0.00
2903,0.00
2904,0.00
2905,0.00
2906,0.00
2907,0.00
2908,0.00
2909,0.00
2910,0.00
2911,0.00
2912,0.00
2913,0.00
2914,0.00
2915,0.00
2916,0.00
2917,0.00
2918,0.00
2919,0.00
2920,0.00
2921,0.00
2922,0.00
2923,0.00
2924,0.00
2925,0.00
2926,0.00
2927,0.00
2928,0.00
2929,0.00
2930,0.00
2931,0.00
2932,0.00
2933,0.00
2934,0.00
2935,0.00
2936,0.00
2937,0.00
2938,0.00
2939,0.00
2940,0.00
2941,0.00
2942,0.00
2943,0.00
2944,0.00
2945,0.00
2946,0.00
2947,0.00
2948,0.00
2949,0.00
2950,0.00
2951,0.00
2952,0.00
2953,0.00
2954,0.00
2955,0.00
2956,0.00
2957,0.00
2958,0.00
2959,0.00
2960,0.00
2961,0.00
2962,0.00
2963,0.00
2964,0.00
2965,0.00
2966,0.00
2967,0.00
2968,0.00
2969,0.00
2970,0.00
2971,0.00
2972,0.00
2973,0.00
2974,0.00
2975,0.00
2976,0.00
2977,0.00
2978,0.00
2979,0.00
2980,0.00
2981,0.00
2982,0.00
2983,0.00
2984,0.00
2985,0.00
2986,0.00
2987,0.00
2988,0.00
2989,0.00
2990,0.00
2991,0.00
2992,0.00
2993,0.00
2994,0.00
2995,0.00
2996,0.00
2997,0.00
2998,0.00
2999,0.00
3000,0.00
3001,0.00
3002,0.00
3003,0.00
3004,0.00
3005,0.00
3006,0.00
3007,0.00
3008,0.00
3009,0.00
3010,0.00
3011,0.00
3012,0.00
3013,0.00
3014,0.00
3015,0.00
3016,0.00
3017,0.00
3018,0.00
3019,0.00
3020,0.00
3021,0.00
3022,0.00
3023,0.00
3024,0.00
3025,0.00
3026,0.00
3027,0.00
3028,0.00
3029,0.00
3030,0.00
3031,0.00
3032,0.00
3033,0.00
3034,0.00
3035,0.00
3036,0.00
3037,0.00
3038,0.00
3039,0.00
3040,0.00
3041,0.00
3042,0.00
3043,0.00
3044,0.00
3045,0.00
3046,0.00
3047,0.00
3048,0.00
3049,0.00
3050,0.00
3051,0.00
3052,0.00
3053,0.00
3054,0.00
3055,0.00
3056,0.00
3057,0.00
3058,0.00
3059,0.00
3060,0.00
3061,0.00
3062,0.00
3063,0.00
3064,0.00
3065,0.00
3066,0.00
3067,0.00
3068,0.00
3069,0.00
3070,0.00
3071,0.00
3072,0.00
3073,0.00
3074,0.00
3075,0.00
3076,0.00
3077,0.00
3078,0.00
3079,0.00
3080,0.00
3081,0.00
3082,0.00
3083,0.00
3084,0.00
3085,0.00
3086,0.00
3087,0.00
3088,0.00
3089,0.00
3090,0.00
3091,0.00
3092,0.00
3093,0.00
3094,0.00
3095,0.00
3096,0.00
3097,0.00
3098,0.00
3099,0.00
3100,0.00
3101,0.00
3102,0.00
3103,0.00
3104,0.00
3105,0.00
3106,0.00
3107,0.00
3108,0.00
3109,0.00
3110,0.00
3111,0.00
3112,0.00
3113,0.00
3114,0.00
3115,0.00
3116,0.00
3117,0.00
3118,0.00
3119,0.00
3120,0.00
3121,0.00
3122,0.00
3123,0.00
3124,0.00
3125,0.00
3126,0.00
3127,0.00
3128,0.00
3129,0.00
3130,0.00
3131,0.00
3132,0.00
3133,0.00
3134,0.00
3135,0.00
3136,0.00
3137,0.00
3138,0.00
3139,0.00
3140,0.00
3141,0.00
3142,0.00
3143,0.00
3144,0.00
3145,0.00
3146,0.00
3147,0.00
3148,0.00
3149,0.00
3150,0.00
3151,0.00
3152,0.00
3153,0.00
3154,0.00
3155,0.00
3156,0.00
3157,0.00
3158,0.00
3159,0.00
3160,0.00
3161,0.00
3162,0.00
3163,0.00
3164,0.00
3165,0.00
3166,0.00
3167,0.00
3168,0.00
3169,0.00
3170,0.00
3171,0.00
3172,0.00
3173,0.00
3174,0.00
3175,0.00
3176,0.00
3177,0.00
3178,0.00
3179,0.00
3180,0.00
3181,0.00
3182,0.00
3183,0.00
3184,0.00
3185,0.00
3186,0.00
3187,0.00
3188,0.00
3189,0.00
3190,0.00
3191,0.00
3192,0.00
3193,0.00
3194,0.00
3195,0.00
3196,0.00
3197,0.00
3198,0.00
3199,0.00
3200,0.00
3201,0.00
3202,0.00
3203,0.00
3204,0.00
3205,0.00
3206,0.00
3207,0.00
3208,0.00
3209,0.00
3210,0.00
3211,0.00
3212,0.00
3213,0.00
3214,0.00
3215,0.00
3216,0.00
3217,0.00
3218,0.00
3219,0.00
3220,0.00
3221,0.00
3222,0.00
3223,0.00
3224,0.00
3225,0.00
3226,0.00
3227,0.00
3228,0.00
3229,0.00
3230,0.00
3231,0.00
3232,0.00
3233,0.00
3234,0.00
3235,0.00
3236,0.00
3237,0.00
3238,0.00
3239,0.00
3240,0.00
3241,0.00
3242,0.00
3243,0.00
3244,0.00
3245,0.00
3246,0.00
3247,0.00
3248,0.00
3249,0.00
3250,0.00
3251,0.00
3252,0.00
3253,0.00
3254,0.00
3255,0.00
3256,0.00
3257,0.00
3258,0.00
3259,0.00
3260,0.00
3261,0.00
3262,0.00
3263,0.00
3264,0.00
3265,0.00
3266,0.00
3267,0.00
3268,0.00
3269,0.00
3270,0.00
3271,0.00
3272,0.00
3273,0.00
3274,0.00
3275,0.00
3276,0.00
3277,0.00
3278,0.00
3279,0.00
3280,0.00
3281,0.00
3282,0.00
3283,0.00
3284,0.00
3285,0.00
3286,0.00
3287,0.00
3288,0.00
3289,0.00
3290,0.00
3291,0.00
3292,0.00
3293,0.00
3294,0.00
3295,0.00
3296,0.00
3297,0.00
3298,0.00
3299,0.00
3300,0.00
3301,0.00
3302,0.00
3303,0.00
3304,0.00
3305,0.00
3306,0.00
3307,0.00
3308,0.00
3309,0.00
3310,0.00
3311,0.00
3312,0.00
3313,0.00
3314,0.00
3315,0.00
3316,0.00
3317,0.00
3318,0.00
3319,0.00
3320,0.00
3321,0.00
3322,0.00
3323,0.00
3324,0.00
3325,0.00
3326,0.00
3327,0.00
3328,0.00
3329,0.00
3330,0.00
3331,0.00
3332,0.00
3333,0.00
3334,0.00
3335,0.00
3336,0.00
3337,0.00
3338,0.00
3339,0.00
3340,0.00
3341,0.00
3342,0.00
3343,0.00
3344,0.00
3345,0.00
3346,0.00
3347,0.00
3348,0.00
3349,0.00
3350,0.00
3351,0.00
3352,0.00
3353,0.00
3354,0.00
3355,0.00
3356,0.00
3357,0.00
3358,0.00
3359,0.00
3360,0.00
3361,0.00
3362,0.00
3363,0.00
3364,0.00
3365,0.00
3366,0.00
3367,0.00
3368,0.00
3369,0.00
3370,0.00
3371,0.00
3372,0.00
3373,0.00
3374,0.00
3375,0.00
3376,0.00
3377,0.00
3378,0.00
3379,0.00
3380,0.00
3381,0.00
3382,0.00
3383,0.00
3384,0.00
3385,0.00
3386,0.00
3387,0.00
3388,0.00
3389,0.00
3390,0.00
3391,0.00
3392,0.00
3393,0.00
3394,0.00
3395,0.00
3396,0.00
3397,0.00
3398,0.00
3399,0.00
3400,0.00
3401,0.00
3402,0.00
3403,0.00
3404,0.00
3405,0.00
3406,0.00
3407,0.00
3408,0.00
3409,0.00
3410,0.00
3411,0.00
3412,0.00
3413,0.00
3414,0.00
3415,0.00
3416,0.00
3417,0.00
3418,0.00
3419,0.00
3420,0.00
3421,0.00
3422,0.00
3423,0.00
3424,0.00
3425,0.00
3426,0.00
3427,0.00
3428,0.00
3429,0.00
3430,0.00
3431,0.00
3432,0.00
3433,0.00
3434,0.00
3435,0.00
3436,0.00
3437,0.00
3438,0.00
3439,0.00
3440,0.00
3441,0.00
3442,0.00
3443,0.00
3444,0.00
3445,0.00
3446,0.00
3447,0.00
3448,0.00
3449,0.00
3450,0.00
3451,0.00
3452,0.00
3453,0.00
3454,0.00
3455,0.00
3456,0.00
3457,0.00
3458,0.00
3459,0.00
3460,0.00
3461,0.00
3462,0.00
3463,0.00
3464,0.00
3465,0.00
3466,0.00
3467,0.00
3468,0.00
3469,0.00
3470,0.00
3471,0.00
3472,0.00
3473,0.00
3474,0.00
3475,0.00
3476,0.00
3477,0.00
3478,0.00
3479,0.00
3480,0.00
3481,0.00
3482,0.00
3483,0.00
3484,0.00
3485,0.00
3486,0.00
3487,0.00
3488,0.00
3489,0.00
3490,0.00
3491,0.00
3492,0.00
3493,0.00
3494,0.00
3495,0.00
3496,0.00
3497,0.00
3498,0.00
3499,0.00
3500,0.00
3501,0.00
3502,0.00
3503,0.00
3504,0.00
3505,0.00
3506,0.00
3507,0.00
3508,0.00
3509,0.00
3510,0.00
3511,0.00
3512,0.00
3513,0.00
3514,0.00
3515,0.00
3516,0.00
3517,0.00
3518,0.00
3519,0.00
3520,0.00
3521,0.00
3522,0.00
3523,0.00
3524,0.00
3525,0.00
3526,0.00
3527,0.00
3528,0.00
3529,0.00
3530,0.00
3531,0.00
3532,0.00
3533,0.00
3534,0.00
3535,0.00
3536,0.00
3537,0.00
3538,0.00
3539,0.00
3540,0.00
3541,0.00
3542,0.00
3543,0.00
3544,0.00
3545,0.00
3546,0.00
3547,0.00
3548,0.00
3549,0.00
3550,0.00
3551,0.00
3552,0.00
3553,0.00
3554,0.00
3555,0.00
3556,0.00
3557,0.00
3558,0.00
3559,0.00
3560,0.00
3561,0.00
3562,0.00
3563,0.00
3564,0.00
3565,0.00
3566,0.00
3567,0.00
3568,0.00
3569,0.00
3570,0.00
3571,0.00
3572,0.00
3573,0.00
3574,0.00
3575,0.00
3576,0.00
3577,0.00
3578,0.00
3579,0.00
3580,0.00
3581,0.00
3582,0.00
3583,0.00
3584,0.00
3585,0.00
3586,0.00
3587,0.00
3588,0.00
3589,0.00
3590,0.00
3591,0.00
3592,0.00
3593,0.00
3594,0.00
3595,0.00
3596,0.00
3597,0.00
3598,0.00
3599,0.00
3600,0.00
3601,0.00
3602,0.00
3603,0.00
3604,0.00
3605,0.00
3606,0.00
3607,0.00
3608,0.00
3609,0.00
3610,0.00
3611,0.00
3612,0.00
3613,0.00
3614,0.00
3615,0.00
3616,0.00
3617,0.00
3618,0.00
3619,0.00
3620,0.00
3621,0.00
3622,0.00
3623,0.00
3624,0.00
3625,0.00
3626,0.00
3627,0.00
3628,0.00
3629,0.00
3630,0.00
3631,0.00
3632,0.00
3633,0.00
3634,0.00
3635,0.00
3636,0.00
3637,0.00
3638,0.00
3639,0.00
3640,0.00
3641,0.00
3642,0.00
3643,0.00
3644,0.00
3645,0.00
3646,0.00
3647,0.00
3648,0.00
3649,0.00
3650,0.00
3651,0.00
3652,0.00
3653,0.00
3654,0.00
3655,0.00
3656,0.00
3657,0.00
3658,0.00
3659,0.00
3660,0.00
3661,0.00
3662,0.00
3663,0.00
3664,0.00
3665,0.00
3666,0.00
3667,0.00
3668,0.00
3669,0.00
3670,0.00
3671,0.00
3672,0.00
3673,0.00
3674,0.00
3675,0.00
3676,0.00
3677,0.00
3678,0.00
3679,0.00
3680,0.00
3681,0.00
3682,0.00
3683,0.00
3684,0.00
3685,0.00
3686,0.00
3687,0.00
3688,0.00
3689,0.00
3690,0.00
3691,0.00
3692,0.00
3693,0.00
3694,0.00
3695,0.00
3696,0.00
3697,0.00
3698,0.00
3699,0.00
3700,0.00
3701,0.00
3702,0.00
3703,0.00
3704,0.00
3705,0.00
3706,0.00
3707,0.00
3708,0.00
3709,0.00
3710,0.00
3711,0.00
3712,0.00
3713,0.00
3714,0.00
3715,0.00
3716,0.00
3717,0.00
3718,0.00
3719,0.00
3720,0.00
3721,0.00
3722,0.00
3723,0.00
3724,0.00
3725,0.00
3726,0.00
3727,0.00
3728,0.00
3729,0.00
3730,0.00
3731,0.00
3732,0.00
3733,0.00
3734,0.00
3735,0.00
3736,0.00
3737,0.00
3738,0.00
3739,0.00
3740,0.00
3741,0.00
3742,0.00
3743,0.00
3744,0.00
3745,0.00
3746,0.00
3747,0.00
3748,0.00
3749,0.00
3750,0.00
3751,0.00
3752,0.00
3753,0.00
3754,0.00
3755,0.00
3756,0.00
3757,0.00
3758,0.00
3759,0.00
3760,0.00
3761,0.00
3762,0.00
3763,0.00
3764,0.00
3765,0.00
3766,0.00
3767,0.00
3768,0.00
3769,0.00
3770,0.00
3771,0.00
3772,0.00
3773,0.00
3774,0.00
3775,0.00
3776,0.00
3777,0.00
3778,0.00
3779,0.00
3780,0.00
3781,0.00
3782,0.00
3783,0.00
3784,0.00
3785,0.00
3786,0.00
3787,0.00
3788,0.00
3789,0.00
3790,0.00
3791,0.00
3792,0.00
3793,0.00
3794,0.00
3795,0.00
3796,0.00
3797,0.00
3798,0.00
3799,0.00
3800,0.00
3801,0.00
3802,0.00
3803,0.00
3804,0.00
3805,0.00
3806,0.00
3807,0.00
3808,0.00
3809,0.00
3810,0.00
3811,0.00
3812,0.00
3813,0.00
3814,0.00
3815,0.00
3816,0.00
3817,0.00
3818,0.00
3819,0.00
3820,0.00
3821,0.00
3822,0.00
3823,0.00
3824,0.00
3825,0.00
3826,0.00
3827,0.00
3828,0.00
3829,0.00
3830,0.00
3831,0.00
3832,0.00
3833,0.00
3834,0.00
3835,0.00
3836,0.00
3837,0.00
3838,0.00
3839,0.00
3840,0.00
3841,0.00
3842,0.00
3843,0.00
3844,0.00
3845,0.00
3846,0.00
3847,0.00
3848,0.00
3849,0.00
3850,0.00
3851,0.00
3852,0.00
3853,0.00
3854,0.00
3855,0.00
3856,0.00
3857,0.00
3858,0.00
3859,0.00
3860,0.00
3861,0.00
3862,0.00
3863,0.00
3864,0.00
3865,0.00
3866,0.00
3867,0.00
3868,0.00
3869,0.00
3870,0.00
3871,0.00
3872,0.00
3873,0.00
3874,0.00
3875,0.00
3876,0.00
3877,0.00
3878,0.00
3879,0.00
3880,0.00
3881,0.00
3882,0.00
3883,0.00
3884,0.00
3885,0.00
3886,0.00
3887,0.00
3888,0.00
3889,0.00
3890,0.00
3891,0.00
3892,0.00
3893,0.00
3894,0.00
3895,0.00
3896,0.00
3897,0.00
3898,0.00
3899,0.00
3900,0.00
3901,0.00
3902,0.00
3903,0.00
3904,0.00
3905,0.00
3906,0.00
3907,0.00
3908,0.00
3909,0.00
3910,0.00
3911,0.00
3912,0.00
3913,0.00
3914,0.00
3915,0.00
3916,0.00
3917,0.00
3918,0.00
3919,0.00
3920,0.00
3921,0.00
3922,0.00
3923,0.00
3924,0.00
3925,0.00
3926,0.00
3927,0.00
3928,0.00
3929,0.00
3930,0.00
3931,0.00
3932,0.00
3933,0.00
3934,0.00
3935,0.00
3936,0.00
3937,0.00
3938,0.00
3939,0.00
3940,0.00
3941,0.00
3942,0.00
3943,0.00
3944,0.00
3945,0.00
3946,0.00
3947,0.00
3948,0.00
3949,0.00
3950,0.00
3951,0.00
3952,0.00
3953,0.00
3954,0.00
3955,0.00
3956,0.00
3957,0.00
3958,0.00
3959,0.00
3960,0.00
3961,0.00
3962,0.00
3963,0.00
3964,0.00
3965,0.00
3966,0.00
3967,0.00
3968,0.00
3969,0.00
3970,0.00
3971,0.00
3972,0.00
3973,0.00
3974,0.00
3975,0.00
3976,0.00
3977,0.00
3978,0.00
3979,0.00
3980,0.00
3981,0.00
3982,0.00
3983,0.00
3984,0.00
3985,0.00
3986,0.00
3987,0.00
3988,0.00
3989,0.00
3990,0.00
3991,0.00
3992,0.00
3993,0.00
3994,0.00
3995,0.00
3996,0.00
3997,0.00
3998,0.00
3999,0.00
4000,0.00
4001,0.00
4002,0.00
4003,0.00
4004,0.00
4005,0.00
4006,0.00
4007,0.00
4008,0.00
4009,0.00
4010,0.00
4011,0.00
4012,0.00
4013,0.00
4014,0.00
4015,0.00
4016,0.00
4017,0.00
4018,0.00
4019,0.00
4020,0.00
4021,0.00
4022,0.00
4023,0.00
4024,0.00
4025,0.00
4026,0.00
4027,0.00
4028,0.00
4029,0.00
4030,0.00
4031,0.00
4032,0.00
4033,0.00
4034,0.00
4035,0.00
4036,0.00
4037,0.00
4038,0.00
4039,0.00
4040,0.00
4041,0.00
4042,0.00
4043,0.00
4044,0.00
4045,0.00
4046,0.00
4047,0.00
4048,0.00
4049,0.00
4050,0.00
4051,0.00
4052,0.00
4053,0.00
4054,0.00
4055,0.00
4056,0.00
4057,0.00
4058,0.00
4059,0.00
4060,0.00
4061,0.00
4062,0.00
4063,0.00
4064,0.00
4065,0.00
4066,0.00
4067,0.00
4068,0.00
4069,0.00
4070,0.00
4071,0.00
4072,0.00
4073,0.00
4074,0.00
4075,0.00
4076,0.00
4077,0.00
4078,0.00
4079,0.00
4080,0.00
4081,0.00
4082,0.00
4083,0.00
4084,0.00
4085,0.00
4086,0.00
4087,0.00
4088,0.00
4089,0.00
4090,0.00
4091,0.00
4092,0.00
4093,0.00
4094,0.00
4095,0.00
4096,0.00
4097,0.00
4098,0.00
4099,0.00
4100,0.00
4101,0.00
4102,0.00
4103,0.00
4104,0.00
4105,0.00
4106,0.00
4107,0.00
4108,0.00
4109,0.00
4110,0.00
4111,0.00
4112,0.00
4113,0.00
4114,0.00
4115,0.00
4116,0.00
4117,0.00
4118,0.00
4119,0.00
4120,0.00
4121,0.00
4122,0.00
4123,0.00
4124,0.00
4125,0.00
4126,0.00
4127,0.00
4128,0.00
4129,0.00
4130,0.00
4131,0.00
4132,0.00
4133,0.00
